"Precinct","Registered Voters","Ballots Cast","Steve Hagerty","Mark Tendam","Total Votes"
"Evanston Ward 1 Precinct 1",1235,150,75,71,146
"Evanston Ward 1 Precinct 2",1023,312,165,139,304
"Evanston Ward 1 Precinct 3",918,438,246,179,425
"Evanston Ward 1 Precinct 4",1370,592,343,230,573
"Evanston Ward 2 Precinct 1",1725,490,237,239,476
"Evanston Ward 2 Precinct 2",722,251,111,134,245
"Evanston Ward 2 Precinct 3",1115,216,136,68,204
"Evanston Ward 2 Precinct 4",1303,318,139,170,309
"Evanston Ward 2 Precinct 5",838,251,123,125,248
"Evanston Ward 3 Precinct 1",1006,475,250,208,458
"Evanston Ward 3 Precinct 2",1143,447,193,240,433
"Evanston Ward 3 Precinct 3",978,426,153,261,414
"Evanston Ward 3 Precinct 4",624,188,102,81,183
"Evanston Ward 3 Precinct 5",1016,322,136,173,309
"Evanston Ward 3 Precinct 6",961,369,170,186,356
"Evanston Ward 3 Precinct 7",790,338,157,174,331
"Evanston Ward 4 Precinct 1",551,202,63,134,197
"Evanston Ward 4 Precinct 2",845,312,98,208,306
"Evanston Ward 4 Precinct 3",798,153,70,80,150
"Evanston Ward 4 Precinct 4",1310,598,301,279,580
"Evanston Ward 4 Precinct 5",620,195,68,118,186
"Evanston Ward 4 Precinct 6",1303,390,183,202,385
"Evanston Ward 5 Precinct 1",1047,276,170,98,268
"Evanston Ward 5 Precinct 2",1448,379,179,192,371
"Evanston Ward 5 Precinct 3",1088,275,171,93,264
"Evanston Ward 5 Precinct 4",698,141,91,45,136
"Evanston Ward 6 Precinct 1",1391,724,362,349,711
"Evanston Ward 6 Precinct 2",673,364,178,178,356
"Evanston Ward 6 Precinct 3",743,390,204,174,378
"Evanston Ward 6 Precinct 4",936,430,206,213,419
"Evanston Ward 6 Precinct 5",1200,540,321,210,531
"Evanston Ward 6 Precinct 6",776,374,208,148,356
"Evanston Ward 6 Precinct 7",1152,652,288,345,633
"Evanston Ward 7 Precinct 1",1356,572,323,236,559
"Evanston Ward 7 Precinct 2",1441,626,354,256,610
"Evanston Ward 7 Precinct 3",847,24,7,17,24
"Evanston Ward 7 Precinct 4",643,368,198,157,355
"Evanston Ward 7 Precinct 5",1214,643,387,248,635
"Evanston Ward 7 Precinct 6",247,21,6,14,20
"Evanston Ward 8 Precinct 1",1176,416,170,230,400
"Evanston Ward 8 Precinct 2",998,186,94,86,180
"Evanston Ward 8 Precinct 3",922,156,82,70,152
"Evanston Ward 8 Precinct 4",899,368,150,209,359
"Evanston Ward 8 Precinct 5",1296,373,162,199,361
"Evanston Ward 9 Precinct 1",774,267,126,135,261
"Evanston Ward 9 Precinct 2",864,354,137,211,348
"Evanston Ward 9 Precinct 3",1229,469,208,248,456
"Evanston Ward 9 Precinct 4",1074,450,193,237,430
"Evanston Ward 9 Precinct 5",666,270,124,139,263
"Evanston Ward 9 Precinct 6",891,286,126,149,275
