"Precinct","Registered Voters","Ballots Cast","YES","NO","Total Votes"
"Evanston Ward 1 Precinct 1",1235,150,121,20,141
"Evanston Ward 1 Precinct 2",1023,320,231,65,296
"Evanston Ward 1 Precinct 3",918,448,327,110,437
"Evanston Ward 1 Precinct 4",1370,604,492,86,578
"Evanston Ward 2 Precinct 1",1725,505,403,93,496
"Evanston Ward 2 Precinct 2",722,257,214,39,253
"Evanston Ward 2 Precinct 3",1115,219,138,73,211
"Evanston Ward 2 Precinct 4",1303,322,245,69,314
"Evanston Ward 2 Precinct 5",838,254,188,61,249
"Evanston Ward 3 Precinct 1",1006,487,384,86,470
"Evanston Ward 3 Precinct 2",1143,458,360,81,441
"Evanston Ward 3 Precinct 3",978,437,359,68,427
"Evanston Ward 3 Precinct 4",624,192,151,29,180
"Evanston Ward 3 Precinct 5",1016,327,264,52,316
"Evanston Ward 3 Precinct 6",961,380,302,72,374
"Evanston Ward 3 Precinct 7",790,355,273,66,339
"Evanston Ward 4 Precinct 1",551,205,172,30,202
"Evanston Ward 4 Precinct 2",845,317,258,49,307
"Evanston Ward 4 Precinct 3",798,160,122,29,151
"Evanston Ward 4 Precinct 4",1310,616,488,108,596
"Evanston Ward 4 Precinct 5",620,203,185,17,202
"Evanston Ward 4 Precinct 6",1303,399,307,70,377
"Evanston Ward 5 Precinct 1",1047,277,157,101,258
"Evanston Ward 5 Precinct 2",1448,380,281,76,357
"Evanston Ward 5 Precinct 3",1088,279,185,72,257
"Evanston Ward 5 Precinct 4",698,146,85,51,136
"Evanston Ward 6 Precinct 1",1391,742,586,148,734
"Evanston Ward 6 Precinct 2",673,382,323,51,374
"Evanston Ward 6 Precinct 3",743,406,326,74,400
"Evanston Ward 6 Precinct 4",936,452,359,86,445
"Evanston Ward 6 Precinct 5",1200,572,459,105,564
"Evanston Ward 6 Precinct 6",776,383,307,45,352
"Evanston Ward 6 Precinct 7",1152,668,560,88,648
"Evanston Ward 7 Precinct 1",1356,594,480,103,583
"Evanston Ward 7 Precinct 2",1441,650,530,114,644
"Evanston Ward 7 Precinct 3",847,24,21,0,21
"Evanston Ward 7 Precinct 4",643,384,331,49,380
"Evanston Ward 7 Precinct 5",1214,663,528,126,654
"Evanston Ward 7 Precinct 6",247,21,19,1,20
"Evanston Ward 8 Precinct 1",1176,429,321,98,419
"Evanston Ward 8 Precinct 2",998,191,131,49,180
"Evanston Ward 8 Precinct 3",922,161,119,38,157
"Evanston Ward 8 Precinct 4",899,373,288,76,364
"Evanston Ward 8 Precinct 5",1296,382,302,73,375
"Evanston Ward 9 Precinct 1",774,273,217,42,259
"Evanston Ward 9 Precinct 2",864,362,289,64,353
"Evanston Ward 9 Precinct 3",1229,475,390,79,469
"Evanston Ward 9 Precinct 4",1074,465,374,76,450
"Evanston Ward 9 Precinct 5",666,276,203,62,265
"Evanston Ward 9 Precinct 6",891,294,224,66,290
